香港凤凰,#genre#
凤凰中文高清,http://183.151.63.241:4022/udp/233.50.200.42:5140
凤凰中文高清,http://183.151.58.78:4022//udp/233.50.200.42:5140
凤凰中文高清,http://183.151.63.241:4022//udp/233.50.200.42:5140
凤凰中文高清,http://183.151.63.241:4022/udp/233.50.200.191:5140
凤凰中文高清,http://183.151.58.78:4022//udp/233.50.200.191:5140
凤凰中文高清,http://183.151.63.241:4022//udp/233.50.200.191:5140
凤凰资讯高清,http://183.151.63.241:4022/udp/233.50.200.192:5140
凤凰资讯高清,http://183.151.58.78:4022//udp/233.50.200.192:5140
凤凰资讯高清,http://183.151.63.241:4022//udp/233.50.200.192:5140
央视高清,#genre#
CCTV-1高清,http://183.151.63.241:4022/udp/233.50.200.99:5140,http://183.151.58.78:4022//udp/233.50.200.99:5140,http://182.98.0.212:4022/udp/239.252.219.200:5140
CCTV-1高清,http://183.151.58.78:4022//udp/233.50.200.99:5140
CCTV-1高清,http://183.151.63.241:4022//udp/233.50.200.99:5140
CCTV-1高清,http://183.151.63.241:4022/udp/233.50.200.130:5140
CCTV-1高清,http://183.151.58.78:4022//udp/233.50.200.130:5140
CCTV-1高清,http://183.151.63.241:4022//udp/233.50.200.130:5140
CCTV-1高清,http://183.151.63.241:4022/udp/233.50.200.143:5140
CCTV-1高清,http://183.151.58.78:4022//udp/233.50.200.143:5140
CCTV-1高清,http://183.151.63.241:4022//udp/233.50.200.143:5140
CCTV-1高清,http://183.151.63.241:4022/udp/233.50.201.118:5140
CCTV-1高清,http://183.151.58.78:4022//udp/233.50.201.118:5140
CCTV-1高清,http://183.151.63.241:4022//udp/233.50.201.118:5140
CCTV-1高清,http://183.151.63.241:4022/udp/233.50.201.222:5140
CCTV-1高清,http://183.151.58.78:4022//udp/233.50.201.222:5140
CCTV-1高清,http://183.151.63.241:4022//udp/233.50.201.222:5140
CCTV-2高清,http://183.151.63.241:4022/udp/233.50.200.25:5140
CCTV-2高清,http://183.151.58.78:4022//udp/233.50.200.25:5140
CCTV-2高清,http://183.151.63.241:4022//udp/233.50.200.25:5140
CCTV-2高清,http://183.151.63.241:4022/udp/233.50.200.100:5140
CCTV-2高清,http://183.151.58.78:4022//udp/233.50.200.100:5140
CCTV-2高清,http://183.151.63.241:4022//udp/233.50.200.100:5140
CCTV-2高清,http://183.151.63.241:4022/udp/233.50.201.119:5140
CCTV-2高清,http://183.151.58.78:4022//udp/233.50.201.119:5140
CCTV-2高清,http://183.151.63.241:4022//udp/233.50.201.119:5140
CCTV-3高清,http://183.151.63.241:4022/udp/233.50.200.107:5140
CCTV-3高清,http://183.151.58.78:4022//udp/233.50.200.107:5140
CCTV-3高清,http://183.151.63.241:4022//udp/233.50.200.107:5140
CCTV-3高清,http://183.151.63.241:4022/udp/233.50.201.196:5140
CCTV-3高清,http://183.151.58.78:4022//udp/233.50.201.196:5140
CCTV-3高清,http://183.151.63.241:4022//udp/233.50.201.196:5140
CCTV-4高清,http://183.151.63.241:4022/udp/233.50.200.101:5140
CCTV-4高清,http://183.151.58.78:4022//udp/233.50.200.101:5140
CCTV-4高清,http://183.151.63.241:4022//udp/233.50.200.101:5140
CCTV-5高清,http://183.151.63.241:4022/udp/233.50.200.108:5140
CCTV-5高清,http://183.151.58.78:4022//udp/233.50.200.108:5140
CCTV-5高清,http://183.151.63.241:4022//udp/233.50.200.108:5140
CCTV-5高清,http://183.151.63.241:4022/udp/233.50.201.197:5140
CCTV-5高清,http://183.151.58.78:4022//udp/233.50.201.197:5140
CCTV-5高清,http://183.151.63.241:4022//udp/233.50.201.197:5140
CCTV-5+高清,http://183.151.63.241:4022/udp/233.50.201.220:5140
CCTV-5+高清,http://183.151.58.78:4022//udp/233.50.201.220:5140
CCTV-5+高清,http://183.151.63.241:4022//udp/233.50.201.220:5140
CCTV-6高清,http://183.151.63.241:4022/udp/233.50.200.109:5140
CCTV-6高清,http://183.151.58.78:4022//udp/233.50.200.109:5140
CCTV-6高清,http://183.151.63.241:4022//udp/233.50.200.109:5140
CCTV-6高清,http://183.151.63.241:4022/udp/233.50.201.198:5140
CCTV-6高清,http://183.151.58.78:4022//udp/233.50.201.198:5140
CCTV-6高清,http://183.151.63.241:4022//udp/233.50.201.198:5140
CCTV-7高清,http://183.151.63.241:4022/udp/233.50.200.24:5140
CCTV-7高清,http://183.151.58.78:4022//udp/233.50.200.24:5140
CCTV-7高清,http://183.151.63.241:4022//udp/233.50.200.24:5140
CCTV-7高清,http://183.151.63.241:4022/udp/233.50.200.102:5140
CCTV-7高清,http://183.151.58.78:4022//udp/233.50.200.102:5140
CCTV-7高清,http://183.151.63.241:4022//udp/233.50.200.102:5140
CCTV-7高清,http://183.151.63.241:4022/udp/233.50.201.120:5140
CCTV-7高清,http://183.151.58.78:4022//udp/233.50.201.120:5140
CCTV-7高清,http://183.151.63.241:4022//udp/233.50.201.120:5140
CCTV-8高清,http://183.151.63.241:4022/udp/233.50.200.110:5140
CCTV-8高清,http://183.151.58.78:4022//udp/233.50.200.110:5140
CCTV-8高清,http://183.151.63.241:4022//udp/233.50.200.110:5140
CCTV-8高清,http://183.151.63.241:4022/udp/233.50.201.199:5140
CCTV-8高清,http://183.151.58.78:4022//udp/233.50.201.199:5140
CCTV-8高清,http://183.151.63.241:4022//udp/233.50.201.199:5140
CCTV-9高清,http://183.151.63.241:4022/udp/233.50.200.23:5140
CCTV-9高清,http://183.151.58.78:4022//udp/233.50.200.23:5140
CCTV-9高清,http://183.151.63.241:4022//udp/233.50.200.23:5140
CCTV-9高清,http://183.151.63.241:4022/udp/233.50.201.121:5140
CCTV-9高清,http://183.151.58.78:4022//udp/233.50.201.121:5140
CCTV-9高清,http://183.151.63.241:4022//udp/233.50.201.121:5140
CCTV-10高清,http://183.151.63.241:4022/udp/233.50.200.22:5140
CCTV-10高清,http://183.151.58.78:4022//udp/233.50.200.22:5140
CCTV-10高清,http://183.151.63.241:4022//udp/233.50.200.22:5140
CCTV-10高清,http://183.151.63.241:4022/udp/233.50.201.122:5140
CCTV-10高清,http://183.151.58.78:4022//udp/233.50.201.122:5140
CCTV-10高清,http://183.151.63.241:4022//udp/233.50.201.122:5140
CCTV-12高清,http://183.151.63.241:4022/udp/233.50.200.21:5140
CCTV-12高清,http://183.151.58.78:4022//udp/233.50.200.21:5140
CCTV-12高清,http://183.151.63.241:4022//udp/233.50.200.21:5140
CCTV-12高清,http://183.151.63.241:4022/udp/233.50.201.123:5140
CCTV-12高清,http://183.151.58.78:4022//udp/233.50.201.123:5140
CCTV-12高清,http://183.151.63.241:4022//udp/233.50.201.123:5140
CCTV-13高清,http://183.151.63.241:4022/udp/233.50.200.111:5140
CCTV-13高清,http://183.151.58.78:4022//udp/233.50.200.111:5140
CCTV-13高清,http://183.151.63.241:4022//udp/233.50.200.111:5140
CCTV-13高清,http://183.151.63.241:4022/udp/233.50.201.246:5140
CCTV-13高清,http://183.151.58.78:4022//udp/233.50.201.246:5140
CCTV-13高清,http://183.151.63.241:4022//udp/233.50.201.246:5140
CCTV-14高清,http://183.151.63.241:4022/udp/233.50.200.103:5140
CCTV-14高清,http://183.151.58.78:4022//udp/233.50.200.103:5140
CCTV-14高清,http://183.151.63.241:4022//udp/233.50.200.103:5140
CCTV-14高清,http://183.151.63.241:4022/udp/233.50.200.20:5140
CCTV-14高清,http://183.151.58.78:4022//udp/233.50.200.20:5140
CCTV-14高清,http://183.151.63.241:4022//udp/233.50.200.20:5140
CCTV-14高清,http://183.151.63.241:4022/udp/233.50.201.124:5140
CCTV-14高清,http://183.151.58.78:4022//udp/233.50.201.124:5140
CCTV-14高清,http://183.151.63.241:4022//udp/233.50.201.124:5140
CCTV-16高清,http://183.151.63.241:4022/udp/233.50.200.112:5140
CCTV-16高清,http://183.151.58.78:4022//udp/233.50.200.112:5140
CCTV-16高清,http://183.151.63.241:4022//udp/233.50.200.112:5140
CCTV-16高清,http://183.151.63.241:4022/udp/233.50.201.192:5140
CCTV-16高清,http://183.151.58.78:4022//udp/233.50.201.192:5140
CCTV-16高清,http://183.151.63.241:4022//udp/233.50.201.192:5140
CCTV-17高清,http://183.151.63.241:4022/udp/233.50.200.113:5140
CCTV-17高清,http://183.151.58.78:4022//udp/233.50.200.113:5140
CCTV-17高清,http://183.151.63.241:4022//udp/233.50.200.113:5140
CCTV-16 4K,http://183.151.63.241:4022/udp/233.50.201.63:5140
CCTV-16 4K,http://183.151.58.78:4022//udp/233.50.201.63:5140
CCTV-16 4K,http://183.151.63.241:4022//udp/233.50.201.63:5140
卫视高清,#genre#
天津卫视高清,http://183.151.63.241:4022/udp/233.50.200.104:5140
天津卫视高清,http://183.151.58.78:4022//udp/233.50.200.104:5140
