上海电信,#genre#

央视高清,#genre#
CCTV1HD,http://124.79.52.158:4022/udp/239.45.3.145:5140#http://116.229.55.128:4022/udp/239.45.3.145:5140#http://101.83.128.184:4022/udp/239.45.3.145:5140
CCTV2HD,http://124.79.52.158:4022/udp/239.45.0.1:5140#http://116.229.55.128:4022/udp/239.45.0.1:5140#http://101.83.128.184:4022/udp/239.45.0.1:5140
CCTV2HD,http://124.79.52.158:4022/udp/239.45.3.49:5140#http://116.229.55.128:4022/udp/239.45.3.49:5140#http://101.83.128.184:4022/udp/239.45.3.49:5140
CCTV3HD,http://124.79.52.158:4022/udp/239.45.1.68:5140#http://116.229.55.128:4022/udp/239.45.1.68:5140#http://101.83.128.184:4022/udp/239.45.1.68:5140
CCTV4HD,http://124.79.52.158:4022/udp/239.45.0.2:5140#http://116.229.55.128:4022/udp/239.45.0.2:5140#http://101.83.128.184:4022/udp/239.45.0.2:5140
CCTV5HD,http://124.79.52.158:4022/udp/239.45.1.69:5140#http://116.229.55.128:4022/udp/239.45.1.69:5140#http://101.83.128.184:4022/udp/239.45.1.69:5140
CCTV5+HD,http://124.79.52.158:4022/udp/239.45.0.34:5140#http://116.229.55.128:4022/udp/239.45.0.34:5140#http://101.83.128.184:4022/udp/239.45.0.34:5140
CCTV6HD,http://124.79.52.158:4022/udp/239.45.1.70:5140#http://116.229.55.128:4022/udp/239.45.1.70:5140#http://101.83.128.184:4022/udp/239.45.1.70:5140
CCTV7HD,http://124.79.52.158:4022/udp/239.45.3.56:5140#http://116.229.55.128:4022/udp/239.45.3.56:5140#http://101.83.128.184:4022/udp/239.45.3.56:5140
CCTV8HD,http://124.79.52.158:4022/udp/239.45.1.71:5140#http://116.229.55.128:4022/udp/239.45.1.71:5140#http://101.83.128.184:4022/udp/239.45.1.71:5140
CCTV9HD,http://124.79.52.158:4022/udp/239.45.3.4:5140#http://116.229.55.128:4022/udp/239.45.3.4:5140#http://101.83.128.184:4022/udp/239.45.3.4:5140
CCTV10HD,http://124.79.52.158:4022/udp/239.45.3.8:5140#http://116.229.55.128:4022/udp/239.45.3.8:5140#http://101.83.128.184:4022/udp/239.45.3.8:5140
CCTV11HD,http://124.79.52.158:4022/udp/239.45.0.18:5140#http://116.229.55.128:4022/udp/239.45.0.18:5140#http://101.83.128.184:4022/udp/239.45.0.18:5140
CCTV12HD,http://124.79.52.158:4022/udp/239.45.3.10:5140#http://116.229.55.128:4022/udp/239.45.3.10:5140#http://101.83.128.184:4022/udp/239.45.3.10:5140
CCTV13HD,http://124.79.52.158:4022/udp/239.45.0.19:5140#http://116.229.55.128:4022/udp/239.45.0.19:5140#http://101.83.128.184:4022/udp/239.45.0.19:5140
CCTV15HD,http://124.79.52.158:4022/udp/239.45.0.20:5140#http://116.229.55.128:4022/udp/239.45.0.20:5140#http://101.83.128.184:4022/udp/239.45.0.20:5140
CCTV16 4K,http://124.79.52.158:4022/udp/239.45.0.12:5140#http://116.229.55.128:4022/udp/239.45.0.12:5140#http://101.83.128.184:4022/udp/239.45.0.12:5140
CCTV17HD,http://124.79.52.158:4022/udp/239.45.3.52:5140#http://116.229.55.128:4022/udp/239.45.3.52:5140#http://101.83.128.184:4022/udp/239.45.3.52:5140
卫视高清,#genre#
浙江卫视HD,http://124.79.52.158:4022/udp/239.45.3.178:5140#http://116.229.55.128:4022/udp/239.45.3.178:5140#http://101.83.128.184:4022/udp/239.45.3.178:5140
江苏卫视HD,http://124.79.52.158:4022/udp/239.45.3.177:5140#http://116.229.55.128:4022/udp/239.45.3.177:5140#http://101.83.128.184:4022/udp/239.45.3.177:5140
甘肃卫视HD,http://124.79.52.158:4022/udp/239.45.0.15:5140#http://116.229.55.128:4022/udp/239.45.0.15:5140#http://101.83.128.184:4022/udp/239.45.0.15:5140
河南卫视HD,http://124.79.52.158:4022/udp/239.45.0.3:5140#http://116.229.55.128:4022/udp/239.45.0.3:5140#http://101.83.128.184:4022/udp/239.45.0.3:5140
安徽卫视HD,http://124.79.52.158:4022/udp/239.45.1.120:5140#http://116.229.55.128:4022/udp/239.45.1.120:5140#http://101.83.128.184:4022/udp/239.45.1.120:5140
东南卫视HD,http://124.79.52.158:4022/udp/239.45.1.121:5140#http://116.229.55.128:4022/udp/239.45.1.121:5140#http://101.83.128.184:4022/udp/239.45.1.121:5140
江西卫视HD,http://124.79.52.158:4022/udp/239.45.1.122:5140#http://116.229.55.128:4022/udp/239.45.1.122:5140#http://101.83.128.184:4022/udp/239.45.1.122:5140
天津卫视HD,http://124.79.52.158:4022/udp/239.45.1.124:5140#http://116.229.55.128:4022/udp/239.45.1.124:5140#http://101.83.128.184:4022/udp/239.45.1.124:5140
辽宁卫视HD,http://124.79.52.158:4022/udp/239.45.1.123:5140#http://116.229.55.128:4022/udp/239.45.1.123:5140#http://101.83.128.184:4022/udp/239.45.1.123:5140
四川卫视HD,http://124.79.52.158:4022/udp/239.45.1.83:5140#http://116.229.55.128:4022/udp/239.45.1.83:5140#http://101.83.128.184:4022/udp/239.45.1.83:5140
重庆卫视HD,http://124.79.52.158:4022/udp/239.45.1.84:5140#http://116.229.55.128:4022/udp/239.45.1.84:5140#http://101.83.128.184:4022/udp/239.45.1.84:5140
东方卫视HD,http://124.79.52.158:4022/udp/239.45.3.146:5140#http://116.229.55.128:4022/udp/239.45.3.146:5140#http://101.83.128.184:4022/udp/239.45.3.146:5140
贵州卫视HD,http://124.79.52.158:4022/udp/239.45.1.80:5140#http://116.229.55.128:4022/udp/239.45.1.80:5140#http://101.83.128.184:4022/udp/239.45.1.80:5140
